[00:00:00.000] 女：你需要我往他那边靠吗？
[00:57:30.580] 女：然后然后他然后然后又因为他我们之前一直有在一些那个价值观上面的色差，他估计觉得可以可以稳可以稳了，可以是死了嗯。
[00:57:41.420] 男：可以出，但没想到。
[00:57:43.049] 女：来了个C。
[00:57:46.180] 男：关键是你这个。
[00:57:47.493] 女：等一下等一下，你你你不是对。
[00:57:50.260] 女：最主要的原因就是原因是什么？
[00:57:52.770] 女：他以为他会是一个，我只是普通的女生，要要比较特别。
[00:57:57.360] 女：然后没有想到我经历那件事情，就就首先这我我的精力就让他没有办法消化了，就让他。
[00:58:03.340] 女：很难受，难受了几天嗯。
[00:58:06.140] 女：然后然后在他终于就是已经下定好决心要帮我分担，嗯，然后他要改变自己，让自己变得更好。
[00:58:14.304] 女：嗯，就是他已经做好了就是面对我这个黑暗的东西和我做下去的准备了。
[00:58:20.750] 女：嗯，lexi. 
[00:58:21.700] 女：这就是我们先我我的经历状态，已经有点打乱阵脚了。
[00:58:25.640] 女：然后然后他在慌乱中站定。
[00:58:29.360] 女：刚站定就被我一个一个下马屁，我操不稳定因素就是我我现在经历再怎么黑暗，再怎么离谱吧。
[00:58:38.520] 男：他他他那既往不去。
[00:58:40.560] 女：对对，也也已经过去了。
[00:58:42.954] 女：对。
[00:58:45.000] 男：但是有一个定型时。
[00:58:47.540] 女：有一个进行时。
[00:58:49.480] 男：大家不知道这个晶石是什么样的。
[00:58:52.540] 女：对，就就是就是这个就是就是雪上加霜了。
[00:58:56.714] 女：对。
[00:58:59.300] 男：关键是我不一直是个背景板吗？
[00:59:03.240] 男：仅仅是我的这个我这个我。
[00:59:05.296] 女：现在在我真的很考虑他感受，没有接受有个亲密对象对我跟他说了好，就出现那么长。
[00:59:11.840] 女：我说我讲那么多我的事情就就就是为了引出事宜了嗯。
[00:59:18.220] 男：仅仅是有我这个概念，他就受不了了。
[00:59:24.460] 女：我甚至在考虑到你俩打个电话得了。
[00:59:28.020] 男：嗯。
[00:59:29.040] 男：来，咱俩比划比划。
[00:59:31.320] 男：虽然说我我我在专业里面成绩差，可能我还是能比1比的啊。
[00:59:44.040] 女：刚刚闻应该也挺好吃的，我吃了好多汤汁，里面很甜。
[00:59:49.000] 男：哎，宝宝。
[00:59:52.300] 女：还是和真心的舒服一点。
[00:59:58.220] 男：该该听的时候去。
[01:00:00.019] 男：不开心了，那我就不能去了。
[01:00:03.279] 男：得有这个得有这个界限。
[01:00:06.639] 女：对吧对。
[01:00:08.579] 女：我是没有想到他连这个最基本的界限都没有了。
[01:00:12.304] 男：没有你不能说你看人家女生没啥意思的，你就上去，你去占人家便宜。
[01:00:18.199] 男：哎。
[01:00:18.459] 女：这次确实是占便宜了，没得说。
[01:00:21.979] 女：那他要说的话也只能你也只能说我得到你同意了。
[01:00:26.044] 男：同意，妈的。
[01:00:29.319] 男：那你那那那那他妈的，那咱就说你那个环境，你那个情境之下，你你你你你起色心，你还你还在那他妈一直一直问嘛，你啥意思呀？
[01:00:44.739] 女：他真的是这个贴上来了。
[01:00:48.199] 女：就是在在我没有表示同意的时候，他贴上来了。
[01:00:51.819] 男：嗯。
[01:00:56.159] 男：不能做，你你有个鸡毛道德呀，你你担心道德。
[01:01:01.519] 女：然后当时我就想写个刷子，我我再来就是刷子了。
[01:01:07.319] 男：说了也是无可奈何的。
[01:01:09.899] 女：我我再也不说刷子了。
[01:01:14.899] 女：我都不好意思跟嫂子说我的事儿了，他只会记号记号记。
[01:01:19.279] 男：的哎哎。
[01:01:22.699] 男：怎么那么像呢？
[01:01:25.299] 女：双子经历的比我糟糕很多了。
[01:01:27.939] 男：哎，宝宝呢？
[01:01:32.479] 男：嗯，那个。
[01:01:35.559] 男：你你你你有个什么道德呀，你道德败坏。
[01:01:39.939] 男：拎不清一点，分不清一点事儿。
[01:01:44.699] 女：哎，就是像这种嘴上说的那个男的怎么那么坏的人，其实一也意识自己一直不知道。
[01:01:51.432] 男：自己是个男的对，那那那你你你你啥时候。
[01:01:54.939] 男：嗯，那有的事你就是不能做，你不论啥时候你都不能做。
[01:02:00.419] 女：睁眼，我做过最坏的事情，也就是说了一两次不合时宜的话吧。
[01:02:05.026] 男：对不起。
[01:02:07.439] 女：那医生也挺傻逼的对对不起。
[01:02:11.839] 男：但至少我他妈，我行为上，我的动作上，我也是挺。
[01:02:18.219] 男：有了有。
[01:02:20.359] 男：对不起。
[01:02:24.979] 男：有了，确实有。
[01:02:27.739] 女：嗯，然后对我的话也有一点点，但是我觉得那个也还能。
[01:02:32.239] 女：他能接受。
[01:02:33.919] 男：泡泡，你做了，对不起，我以后多注意。
[01:02:37.519] 女：你在看我。
[01:02:40.879] 女：跟我谈。
[01:02:42.059] 女：那ID是得承受我我我会大大量的发色情梗阻的一个。
[01:02:46.499] 女：做牌。
[01:02:48.819] 男：你让我只好好这一口。
[01:02:51.779] 女：嗯。
[01:02:52.819] 男：哎呀，开玩笑的。
[01:02:54.819] 女：你最后这一口。
[01:02:56.759] 男：那四星骨头能有多色呀？
[01:03:01.259] 女：奶油喷白浆。
[01:03:05.099] 男：那能叫色情吗？
[01:03:07.239] 男：你不如叫我，你不如叫我眼珠子给挖出来得了。
[01:03:13.039] 男：神他妈的奶龙配版29，那以后咱要是看片了，我天天给你找奶龙看，好不好？
[01:03:19.579] 女：好啊，你能找到是你牛逼给我看吧。
[01:03:23.259] 女：我我这样一看猎奇的，我还跟雪雪王的色图呢。
[01:03:27.059] 男：干嘛？
[01:03:27.459] 男：我靠。
[01:03:28.759] 男：这个我有点咳嗽了。
[01:03:30.625] 女：他。
[01:03:30.999] 女：大大大我我今天把那个假面具变成假阳具了，因为是赶时间，没有给你发。
[01:03:42.559] 男：哎。
[01:03:44.599] 女：我想回去上个厕所再跟你聊。
[01:03:47.035] 男：抱抱抱抱，那你去吧。
[01:03:50.959] 男：没有一点时间不算晚，能再聊一会儿。
[01:04:26.039] 男：嗯。
